ID,cod prov 1,codint_noborrar,descripcion
,,4480,3M FIBRA PARRILLERA X 3 UNID 16X22CM
3323,,2786,3M FIBRA VERDE 12 X 16 CM **
,,3237,3M FIBRA VERDE EXTRA FUERTE PARRILLERA GRUESA 12X16CM (72UXB) M**
,,4630,3M SCOTCH BRITE PAÑO MICROFIBRA 3 EN 1 COCINA 19X19CM **
3443,,2408,3M SCOTCH BRITE RODILLO SACAPELUSAS X 56 HOJAS
11206,,3415,3M STEEL CLEANER (P/ACERO INOXIDABLE) AERO 300GRS (12UXB) M**
,,1310,3M STEEL CLEANER (P/ACERO INOXIDABLE) AERO 600 GR
11477,LL108.0008,1489,8M AEROSOL MULTILUSTRADOR X 400 CC **
9826,LC035.0004,1314,8M CERA AUTOBRILLO NEGRA BIDON X 5 LTS **
9828,LC035.0005,1315,8M CERA AUTOBRILLO ROJO BIDON X 5 LTS **
10699,LC035.0003,1313,8M CERA INCOLORA BIDON X 5 L (4UXB)**
2762,LL104.0008,1914,8M REMOVEDOR DE CERAS UNIVERSAL JATO X 5 LTS **
,,4056,8M RESTAURADOR CERA FRACCIONADA
,,1312,8M RESTAURADOR X 5 L (4UXB)**
11245,,1917,8M SECUESTRANTE DE POLVO X 4 L
11723,,4639,A OTRA PARTE REPELENTE CONCENTRADO X 1LT **
3344,LR028.0012,2731,A OTRA PARTE REPELENTE PULVERIZADOR APLICACION DIRECTA 1LT **
3354,,3346,A OTRA PARTE! REPELENTE EXTERIOR GRANULADO 600 GRS **
,,2898,A VOLAR! REPELENTE PALOMAS X 4 LTS
,,1316,ACA NO JARRA REP/PERROS Y GATOS 450 CC **
,,4454,ACEITE DE CITRONELA PARA ANTORCHAS X 1 LT
,,3571,AIRE PUR ANTIHUM ZAPATOS 2 X 36 GRS
,,3632,"AIRE PUR ANTIHUMEDAD ""MEGA"" X 500 GRS (12UXB) **"
10381,,4617,AIRE PUR ANTIHUMEDAD APARATO MINI 3X2 X 75 GRS (8UXB) **
2593,,76,"AIRE PUR ANTIHUMEDAD APARATO MINI X 75 GRS ""LAVANDA"" (24UXB) **"
,,3631,"AIRE PUR ANTIHUMEDAD COMPACT REP X 250 GRS. ""LIMON"" (24UXB) **"
,,4304,"AIRE PUR ANTIHUMEDAD COMPACT X 250 GRS ""PINO"" (24UXB)**"
,,4303,AIRE PUR ANTIHUMEDAD COMPACT X 250 GRS LAVANDA (24UXB)**
,,3865,"AIRE PUR ANTIHUMEDAD COMPACT X 500GRS ""ALGODON Y LINO"" (12UXB) **"
2587,,59,"AIRE PUR ANTIHUMEDAD MAX + DEO X 250 GR (12UXB) ""PINO"""
2587,,57,"AIRE PUR ANTIHUMEDAD MAX APARATO X 250 GR ""LAVANDA"" (12UXB) **"
