,id_bacha,id_interno,name_interno,Unnamed: 3,precio_bacha,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,LC058.0013,2408,3M SCOTCH BRITE RODILLO SACAPELUSAS X 56 HOJAS,21.0,0.0,0.0,186.0,155.0,0.0,240.0,$,,,VARIOS,,EL BACHA,SCOTCH BRITE,,,,,,,SCOTCH BRITE CEPILLOS
1,LL108.0008,1489,8M AEROSOL MULTILUSTRADOR X 400 CC **,21.0,24.2,40.0,125.0,125.4,0.0,125.0,$,,,LUSTRAMUEBLES,,EL BACHA,BLEM,,,,,,,BLEM AEROSOL
2,LC035.0004,1314,8M CERA AUTOBRILLO NEGRA BIDON X 5 LTS **,21.0,1529.0,45.0,2217.05,0.0,0.0,0.0,$,,,CERAS Y REMOVEDORES,,EL BACHA,8 M,,,,,,,8 M CERAS
3,LC035.0005,1315,8M CERA AUTOBRILLO ROJO BIDON X 5 LTS **,21.0,1529.0,45.0,2217.05,0.0,0.0,0.0,$,,,CERAS Y REMOVEDORES,,EL BACHA,8 M,,,,,,,8 M CERAS
4,LC035.0003,1313,8M CERA INCOLORA BIDON X 5 L (4UXB)**,21.0,1529.0,45.0,2217.05,0.0,0.0,0.0,$,,,CERAS Y REMOVEDORES,,EL BACHA,8 M,,,,,,,8 M CERAS
5,LL104.0008,1914,8M REMOVEDOR DE CERAS UNIVERSAL JATO X 5 LTS **,21.0,2145.0,50.0,3217.5,0.0,0.0,0.0,$,,,CERAS Y REMOVEDORES,,EL BACHA,JATO,,,,,,,8M REMOVEDOR CERA
6,LD051.0001,1373,ALA DETERGENTE LAVAVAJILLA ALOE VERA X 750CC (15UXB)**,21.0,65.9,45.0,99.0,0.0,0.0,0.0,$,,,DETERGENTES,,EL BACHA,ALA,,,,,,,ALA DETERGENTE
7,LD052.0008,1378,ALA DETERGENTE LAVAVAJILLA GLICERINA BIDON X 4 LTS **,21.0,358.0,45.0,536.0,0.0,0.0,0.0,$,,,DETERGENTES,,EL BACHA,ALA,,,,,,,ALA DETERGENTE
8,LD051.0010,1374,ALA DETERGENTE LAVAVAJILLA GLICERINA ROSA X 750 CC (15UXB) **,21.0,65.9,45.0,99.0,0.0,0.0,0.0,$,,,DETERGENTES,,EL BACHA,ALA,,,,,,,ALA DETERGENTE
9,LJ002.0003,3756,ALA JABON EN PAN 200 GRS **,21.0,0.0,0.0,51.0,51.0,0.0,50.0,$,,,JABONES -ROPA- MANOS,,EL BACHA,ALA,,,,,,,ALA ESPUMA JABON EN PAN
10,LJ001.0003,4107,ALA JABON EN PAN 200 GRS X 2 UNID (42UXB) **,21.0,83.6,45.0,121.22,0.0,0.0,0.0,$,,,JABON EN PAN,,EL BACHA,ALA,,,,,,,ALA ESPUMA JABON EN PAN
11,LD061.0019,3160,ALA JABON EN POLVO REGULAR (LAVADO A MANO) X 800GR (24UXB) **,21.0,126.5,45.0,183.43,0.0,0.0,190.0,$,,2.0,JABONES PARA ROPA,,EL BACHA,ALA,,,,,,,ALA DETERGENTE EN POLVO
12,LD065.0018,1367,ALA MATIC JABON EN POLVO AZUL X 3 KG (6UXB)**,21.0,434.5,45.0,630.03,0.0,0.0,0.0,$,,,JABONES PARA ROPA,,EL BACHA,ALA,,,,,,,ALA MATIC JABON EN POLVO
13,LD064.0022,4065,"ALA MATIC JABON EN POLVO B/E ""PERLAS"" 800 GRS (24UXB) **",21.0,134.2,45.0,194.59,150.0,0.0,190.0,$,,,JABONES PARA ROPA,,EL BACHA,ALA,,,,,,,ALA MATIC JABON EN POLVO
14,LD065.0035,1369,ALA MATIC JABON EN POLVO INDUSTRIAL X 10 KGS **,21.0,1083.5,45.0,1571.08,0.0,0.0,1632.0,$,,,JABONES PARA ROPA,,EL BACHA,ALA,,,,,,,ALA MATIC JABON EN POLVO
15,LD065.0030,1368,ALA MATIC JABON EN POLVO X 5 KG (4UXB)**,21.0,792.0,45.0,1148.4,0.0,0.0,1148.0,$,,,JABONES PARA ROPA,,EL BACHA,ALA,,,,,,,ALA MATIC JABON EN POLVO
16,LD070.0040,4018,ALA MATIC JABON LIQUIDO DOY PACK 3 LTS (4XB) **,21.0,434.5,45.0,630.03,0.0,0.0,658.0,$,,,JABONES PARA ROPA,,EL BACHA,ALA,,,,,,,ALA MATIC LIQUIDO DOYPACK
17,LD070.0037,4031,ALA MATIC JABON LIQUIDO DOY PACK 800ML (12XB) **,21.0,148.5,45.0,215.33,0.0,0.0,207.0,$,,,JABONES PARA ROPA,,EL BACHA,ALA,,,,,,,ALA MATIC LIQUIDO
18,LD005.0009,1410,AYUDIN AEROSOL DESINFECT BEBE X 332 CC,21.0,0.0,0.0,1.0,550.0,0.0,1.0,$,,,BACTERICIDAS Y DESINFECTANTES,,EL BACHA,AYUDIN,,,,,,,AYUDIN DESINFECTANTE AERO
19,LD005.0007,1409,AYUDIN AEROSOL DESINFECT ORIG X 332 CC,21.0,0.0,0.0,163.0,550.0,0.0,1.0,$,,,BACTERICIDAS Y DESINFECTANTES,,EL BACHA,AYUDIN,,,,,,,AYUDIN DESINFECTANTE AERO
20,LL071.0002,1420,AYUDIN ANTIHONGOS DOYPACK X 500 CC **,21.0,71.5,45.0,103.68,0.0,0.0,0.0,$,,,LIMPIADORES DE BAÑO E INODORO,,EL BACHA,AYUDIN,,,,,,,AYUDIN LIMPIADOR ANTIHONGOS
21,LL070.0001,1418,AYUDIN ANTIHONGOS GATILLO X 500 CC **,21.0,0.0,0.0,199.0,155.0,0.0,199.0,$,,,LIMPIADORES DE BAÑO E INODORO,,EL BACHA,AYUDIN,,,,,,,AYUDIN LIMPIADOR ANTIHONGOS
